Product Code,Short Description,RRP,Price,Pack Size,MfrPartNum
2W00083,2WORK CENTREFEED 3PLY BLE 190X135M PK6,42.68,19.65,1,2W00083
2W00132,2WORK FOURCOURT ROLL WHITE 360M,47.41,17.33,1,2W00132
2W00270,2PLY WHITE FLUSHABLE C-FOLD TWL X 2430,34.75,18.8,1,2W00270
2W00620,2WORK INDUSTRIAL ROLL BLUE,48.19,32.13,1,2W00620
2W00621,2WORK INDUSTRIAL ROLL WHITE 170M,48.19,18.42,1,2W00621
2W00697,2WORK CORELESS TOILET ROLLS WHT,61.95,32.41,36,2W00697
2W00878,2WORK C FOLD TOWEL 1 PLY NATURAL PK2760,38.06,15.3,1,2W00878
2W00977,2WORK SCRUBBER DRYER DET LOW FOAM 5L,14.62,8.48,1,2W00977
2W01072,2WORK COCONUT BODY WASH 5L 2W01072,12.71,4.62,1,2W01072
2W01073,2WORK ANTIBACTERIAL FOAM SOAP 5L,27.44,12.22,1,2W01073
2W01102,2WORK FOAM SOAP DISPENSER,40.63,25.62,1,2W01102
2W01167,2WORK WHEELIE BIN LINERS MDUTY BLK PK100,45.13,20.88,1,2W01167
2W01458,2WORK RINSE AID ADDITIVE 5L,22.66,15.11,1,2W01458
2W02329,2WORK CLEANING CADDY CREAM,10.46,5.36,1,2W02329
2W02359,2WORK 340G PY KENTUCKY MOP YELLOW PK5,22.62,15.08,1,2W02359
2W02381,2WORK 50L SWING BIN BASE ONLY BLACK,17.72,6.07,1,2W02381
2W02383,2WORK 30L SWING BIN BASE ONLY BLACK,11.62,4.39,1,2W02383
2W02385,2WORK 10L SWING BIN BASE ONLY BLACK,10.84,4.46,1,2W02385
2W02392,50L SWING BIN LID BLACK,7.99,3.9,1,2W02392
2W02394,2WORK 30L SWING BIN TOP ONLY BLACK,4.93,2.67,1,2W02394
2W02396,10L SWING BIN LID BLACK,4.56,3.04,1,2W02396
2W02471,2WORK 340G PY KENTUCKY MOP BLUE PK5,22.62,9.45,1,2W02471
2W02472,2WORK 340G PY KENTUCKY MOP GREEN PK5,22.62,15.08,1,2W02472
2W02473,2WORK 340G PY KENTUCKY MOP RED PK5,22.62,10.24,1,2W02473
2W03010,2WORK CENTREFEED ROLL BLUE 100M PK6,23.23,9.42,1,2W03010
2W03481,2WORK HAND SANITISER 60ML PK24,57.6,23,1,2W03481
2W03482,2WORK GEL HAND SANITISER 100ML,2.63,1.22,1,2W03482
2W03483,2WORK GEL HAND SANITISER 240ML,4.23,1.3,1,2W03483
2W03484,2WORK GEL HAND SANITISER 500ML,6.7,3.09,1,2W03484
2W03485,2WORK ANTIBAC ALCOHOL HAND WIPES PK50,4.5,1.99,1,2W03485
2W03580,2WORK ENGINEERS HAND CLEANER 5L 415,19.24,7.27,1,2W03580
2W03970,2WORK DISINFECTANT PERFUMED 1 LITRE 898,4.23,2.32,1,2W03970
2W03974,2WORK PINK PEARL HAND SOAP 5 LITRE 402,12.71,5.18,1,2W03974
2W03975,2WORK HANDWASH ANTIBACTERIAL 5 LITRE 213,12.97,7.11,1,2W03975
2W03977,2WORK THICK BLEACH 5 LITRE 215,7.5,3.21,1,2W03977
2W03978,2WORK THIN BLEACH 5 LITRE 206,6.06,2.45,1,2W03978
2W03979,2WORK DAILY USE PERFMD TOILET CLEANER 1L,2.9,1.22,1,2W03979
2W03981,2WORK WASHROOM CLEANER 5 LITRE 898,12.97,5.76,1,2W03981
